City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Yuanping,76,CN,1553407200,30,38.7243,112.7143,52.86,5.84
Lincoln,0,GB,1553407200,85,53.2336,-0.5393,37.97,6.4
Powell River,12,CA,1553407200,93,49.8371,-124.5246,45.89,3.04
Kortkeros,24,RU,1553407200,80,61.8149,51.5607,37.49,8.97
Hutchinson,0,US,1553407200,74,38.0608,-97.9298,49.76,11.77
San Cristobal,48,EC,1553407200,100,-0.3855,-78.5488,48.04,2.37
Recke,0,DE,1553407200,84,52.3703,7.7175,33.21,3.71
Tamiahua,8,MX,1553407200,93,21.2781,-97.4456,72.89,8.63
Ostrovnoy,12,RU,1553407200,88,68.0544,39.5129,30.9,17.47
Levokumskoye,88,RU,1553407200,100,44.8225,44.6604,40.35,7.63
Zhuanghe,0,CN,1553407200,63,39.6964,122.9703,48.47,24.07
Ayagoz,12,KZ,1553407200,95,47.9649,80.4301,53.15,2.59
Ambilobe,32,MG,1553407200,100,-13.1945,49.05,85.3,0.92
Tarbagatay,8,RU,1553407200,41,51.4837,107.3576,40.32,10.76
Agogo,36,GH,1553407200,92,6.8009,-1.0848,69.73,3.49
Panjab,0,AF,1553407200,90,34.3838,67.0178,43.18,1.48
Griffith,92,AU,1553407200,92,-34.2871,146.0551,76.15,4.38
Codrington,36,AU,1553407200,56,-28.9484,153.2428,87.82,3.04
Port Lincoln,0,AU,1553407200,84,-34.7212,135.8592,68.48,28.99
Aykhal,20,RU,1553407200,65,65.9451,111.5081,4.86,4.5
Ureki,92,GE,1553407200,100,41.9969,41.7793,38.82,1.92
Kenai,92,US,1553407200,93,60.5544,-151.2584,37.87,7.18
Havoysund,88,NO,1553407200,98,70.9963,24.6622,29.51,2.37
Shirokiy,44,RU,1553407200,81,53.8731,39.1716,31.51,3.04
Belaya Gora,8,RU,1553407200,74,68.537,146.1873,0.21,4.16
Maniitsoq,12,GL,1553407200,76,65.4167,-52.9001,4.49,10.76
Chibombo,20,ZM,1553407200,72,-14.6803,28.0947,73.18,13.56
Jining,20,CN,1553407200,42,35.4125,116.5849,69.76,14.56
Nipawin,0,CA,1553407200,76,53.3628,-104.0172,18.61,11.21
Parati,0,BR,1553407200,80,-20.5091,-54.6276,70.81,8.3
Halifax,44,CA,1553407200,86,44.6491,-63.5752,36.17,18.03
Boyolangu,48,ID,1553407200,88,-8.0857,111.9026,82.22,4.61
Oktyabrskiy,92,RU,1553407200,94,55.6086,37.9744,35.08,9.64
Vila Franca do Campo,24,PT,1553407200,100,37.7167,-25.4334,57.5,19.71
Algiers,0,US,1553407200,82,29.9413,-90.0376,54.44,3.49
Bacungan,32,PH,1553407200,96,9.865,118.7296,85.73,17.69
Zhoukou,64,CN,1553407200,47,33.6306,114.6424,67.3,9.86
Tshikapa,88,CD,1553407200,96,-6.4231,20.7888,74.8,2.82
Surgut,88,RU,1553407200,95,61.254,73.3964,33.38,8.63
Port Hawkesbury,56,CA,1553407200,84,45.6181,-61.3575,33.11,21.83
Tadine,92,NC,1553407200,91,-21.55,167.8833,81.17,17.25
Mlawa,0,PL,1553407200,78,53.1128,20.3841,37.6,11.43
Varzelandia,92,BR,1553407200,98,-15.7014,-44.0276,68.03,7.4
Xining,36,CN,1553407200,31,36.6219,101.773,47.77,8.75
Luanda,68,AO,1553407200,100,-8.8272,13.2437,78.76,2.48
Namatanai,56,PG,1553407200,100,-3.6642,152.4407,82.7,6.96
Miedzychod,76,PL,1553407200,75,52.5988,15.897,40.76,6.51
Kazachinskoye,88,RU,1553407200,83,57.6944,93.281,35.49,3.71
Gibara,88,CU,1553407200,97,21.1097,-76.1317,72.84,10.31
Mitsamiouli,0,KM,1553407200,96,-11.3848,43.2844,84.32,6.96
Saint Anthony,0,US,1553407200,78,43.9663,-111.6822,25.81,2.93
Wawa,44,NG,1553407200,72,9.9037,4.4101,72.89,9.19
Kampot,44,KH,1553407200,70,10.6183,104.1797,87.85,6.73
Mococa,0,BR,1553407200,95,-21.4648,-47.0025,67.23,2.59
Pachino,0,IT,1553407200,100,36.7152,15.0915,57.42,4.94
Klaksvik,68,FO,1553407200,95,62.2266,-6.5891,42.74,25.75
Polunochnoye,0,RU,1553407200,84,60.8693,60.4253,46.63,4.83
Belfast,0,GB,1553407200,87,54.597,-5.9301,38.34,13.44
Santa Maria,0,BR,1553407200,83,-29.6861,-53.807,53.36,3.71
Atikokan,56,CA,1553407200,93,48.7625,-91.6247,30.77,5.61
Bitung,12,ID,1553407200,100,1.4434,125.1941,91.6,15.01
Wilmslow,0,GB,1553407200,87,53.3261,-2.2328,35.09,4.38
Abatskoye,24,RU,1553407200,100,56.2875,70.4555,35.26,6.73
Port Moresby,88,PG,1553407200,98,-9.4744,147.16,82.42,3.38
Talnakh,80,RU,1553407200,91,69.494,88.3908,17.13,7.85
Saint-Joseph,0,FR,1553407200,37,43.5562,6.9715,45.99,4.72
Gat,0,SN,1553407200,94,14.6934,-16.5351,62.56,10.42
Lagunillas,0,VE,1553407200,100,8.5046,-71.3945,51.56,1.7
Bowen,36,AU,1553407200,96,-20.0107,148.2468,86.16,15.01
Riohacha,0,CO,1553407200,87,11.5446,-72.907,78.57,14.67
Fare,92,PF,1553407200,97,-16.7001,-151.0167,84.68,10.65
Vardo,0,US,1553407200,49,39.6165,-77.7392,33.48,4.83
Longhua,92,CN,1553407200,100,29.2084,106.2084,54.52,4.16
Mailsi,92,PK,1553407200,90,29.7989,72.1782,64.26,6.51
Kuching,12,MY,1553407200,92,1.5574,110.344,87.13,8.08
Pringsewu,32,ID,1553407200,100,-5.3555,104.9774,81.17,2.82
Chernyshevskiy,64,RU,1553407200,59,63.0128,112.4714,14.63,5.73
Lakhimpur,0,IN,1553407200,66,27.2362,94.1039,78.22,8.41
Novoagansk,80,RU,1553407200,84,61.9449,76.6625,32.38,5.73
Aitape,48,PG,1553407200,86,-3.1511,142.3594,84.05,7.07
Atbasar,36,KZ,1553407200,100,51.811,68.3626,40.57,4.61
Nanma,0,CN,1553407200,26,35.7016,113.1429,60.82,4.38
Nemuro,88,JP,1553407200,99,43.3236,145.575,31.67,12.55
Lima,36,PE,1553407200,81,-12.0622,-77.0366,66.88,1.92
Mehamn,48,NO,1553407200,77,71.035,27.8517,24.62,3.6
Clyde River,56,CA,1553407200,83,70.4692,-68.5915,-9.65,23.17
Longyearbyen,0,NO,1553407200,69,78.2198,15.6349,15.46,4.5
Buraydah,80,SA,1553407200,11,26.3317,43.9717,82.69,7.52
Mattru,32,SL,1553407200,90,7.6244,-11.8333,74.33,2.15
Gimli,80,CA,1553407200,95,50.6323,-96.9882,27.89,19.71
Ulaanbaatar,8,MN,1553407200,28,47.9185,106.9177,40.91,10.65
Mao,0,DO,1553407200,85,19.5516,-71.077,75.14,10.42
Honningsvag,88,NO,1553407200,97,70.9821,25.9704,30.31,0.58
Olovyannaya,80,RU,1553407200,28,50.9437,115.5869,36.32,17.69
Karia,64,NG,1553407200,35,11.7306,11.1629,73.7,4.94
Danshui,92,CN,1553407200,90,22.8081,114.4607,69.38,13.44
Oranjemund,92,ZA,1553407200,92,-28.552,16.4284,62.18,2.59
Egvekinot,88,RU,1553407200,79,66.3167,-179.1667,2.96,4.16
Kavaratti,24,IN,1553407200,100,10.5669,72.642,84.36,9.19
Kargil,44,PK,1553407200,87,34.5594,76.1256,16.38,1.36
Leshukonskoye,92,RU,1553407200,79,64.8989,45.7622,34.88,8.97
Sault Sainte Marie,0,CA,1553407200,80,46.4906,-84.3593,33.65,10.31
Kozhva,92,RU,1553407200,81,65.1073,57.0459,34.86,13.0
Zhigansk,44,RU,1553407200,61,66.7656,123.3741,15.4,9.19
Talaya,76,RU,1553407200,100,55.787,84.8935,37.2,4.61
Lufilufi,92,WS,1553407200,100,-13.8745,-171.5986,86.02,14.79
Diego de Almagro,0,CL,1553407200,89,-26.3911,-70.046,56.96,1.03
Okha,76,RU,1553407200,89,53.5905,142.9501,20.41,19.82
Uyuni,24,BO,1553407200,55,-20.4628,-66.824,40.04,1.36
Shiloh,92,US,1553407200,57,38.5614,-89.8974,49.58,13.44
Quarai,0,BR,1553407200,79,-30.3876,-56.4514,53.99,1.7
Jeremoabo,64,BR,1553407200,99,-10.0806,-38.3437,69.29,2.71
Gedo,0,ET,1553407200,43,9.0119,37.4508,88.02,4.05
Potosi,36,BO,1553407200,91,-19.5892,-65.7538,31.67,2.26
Moose Factory,92,CA,1553407200,77,51.2585,-80.6095,11.24,17.47
Kamaishi,0,JP,1553407200,48,39.2793,141.864,37.61,16.8
Omboue,92,GA,1553407200,100,-1.5747,9.2618,79.7,6.96
Boa Vista,0,BR,1553407200,59,2.8213,-60.6724,82.24,12.44
Sobolevo,0,RU,1553407200,97,54.4299,31.8996,42.17,12.88
Rafaela,12,AR,1553407200,81,-31.2527,-61.4917,59.72,2.82
Nome,36,US,1553407200,80,30.0358,-94.4244,61.73,8.3
Maple Creek,92,CA,1553407200,66,49.9071,-109.462,45.71,13.44
La Ronge,0,CA,1553407200,53,55.1004,-105.3013,12.68,6.73
Angoram,48,PG,1553407200,86,-4.0563,144.0729,83.51,0.92
Trairi,80,BR,1553407200,100,-3.278,-39.2679,79.19,3.49
Shingu,0,JP,1553407200,100,33.7241,135.993,55.79,8.19
Porbandar,0,IN,1553407200,49,21.6422,69.6093,90.21,12.1
Abha,0,SA,1553407200,42,18.2164,42.5044,77.65,1.59
Gravesend,64,GB,1553407200,93,51.4423,0.3696,35.26,4.38
Puerto Asis,68,CO,1553407200,97,0.5133,-76.5008,71.0,2.15
La Libertad,76,PE,1553407200,82,-16.3768,-71.5604,51.67,3.71
Port Macquarie,56,AU,1553407200,79,-31.43,152.9104,89.67,4.16
Galveston,92,US,1553407200,72,40.5789,-86.1903,36.37,7.4
Shintomi,0,JP,1553407200,100,32.0785,131.4723,57.97,3.71
Pechora,92,RU,1553407200,81,65.1155,57.1616,34.86,13.0
General Pico,0,AR,1553407200,36,-35.6636,-63.7543,60.56,11.77
Kawalu,68,ID,1553407200,96,-7.3817,108.2082,74.06,1.14
Ivanovka,0,KG,1553407200,90,42.8874,75.085,47.91,1.7
Aksarka,44,RU,1553407200,91,66.5606,67.7975,25.32,15.46
Ndioum,0,SN,1553407200,88,16.51,-14.6475,58.49,9.53
Oromocto,0,CA,1553407200,57,45.8474,-66.4713,33.11,11.21
Christchurch,0,NZ,1553407200,80,-43.531,172.6366,66.85,3.71
Santa Cruz,0,US,1553407200,97,36.9742,-122.0298,40.24,2.26
Mamontovo,48,RU,1553407200,100,52.7067,81.6313,41.04,8.3
Sovetskiy,64,RU,1553407200,97,56.763,48.4743,30.52,8.41
Kununurra,32,AU,1553407200,41,-15.7731,128.7388,97.82,10.65
Fort Nelson,80,CA,1553407200,87,58.8063,-122.694,32.03,2.82
Maxixe,56,MZ,1553407200,81,-23.8616,35.3489,80.27,9.19
Surt,92,LY,1553407200,94,31.2089,16.5887,60.28,10.98
Dire Dawa,0,ET,1553407200,27,9.5945,41.8557,100.69,3.38
Gao,56,ML,1553407200,26,16.2788,-0.0413,71.27,2.82
Nuuk,32,GL,1553407200,100,64.175,-51.7356,9.03,6.73
Mizdah,64,LY,1553407200,88,31.4451,12.9801,51.64,11.1
Tabou,32,CI,1553407200,98,4.4194,-7.3604,82.43,7.18
Xuanzhou,92,CN,1553407200,58,30.9467,118.7806,59.45,7.29
Nacala,44,MZ,1553407200,97,-14.5565,40.687,82.53,8.75
Ust-Nera,0,RU,1553407200,63,64.5664,143.2378,13.1,2.59
Yeppoon,0,AU,1553407200,55,-23.1349,150.7437,88.66,12.55
Mtimbira,8,TZ,1553407200,62,-8.7834,36.35,87.31,2.48
Hohhot,0,CN,1553407200,23,40.8106,111.6522,51.33,10.87
Buchanan,24,LR,1553407200,100,5.8813,-10.0495,77.84,3.27
Alyangula,20,AU,1553407200,100,-13.8484,136.4192,88.34,16.69
Bure,56,NG,1553407200,43,10.5238,10.3285,75.77,1.92
San Patricio,0,PY,1553407200,83,-26.9767,-56.8274,59.48,2.04
Tuatapere,56,NZ,1553407200,79,-46.1324,167.6908,67.05,10.54
Cervo,64,BR,1553407200,97,-22.1856,-46.2383,61.01,2.37
Bani Walid,68,LY,1553407200,94,31.757,13.9951,52.09,11.54
Imperia,0,IT,1553407200,89,43.8833,8.0223,54.35,6.4
Bahia Blanca,0,AR,1553407200,87,-38.7197,-62.2725,59.66,21.83
Weyburn,92,CA,1553407200,77,49.6694,-103.8511,34.91,19.26
